id_pracownika,imie,nazwisko,pesel,id_miasta,id_ulicy,numer_budynku,numer_mieszkania,kod_pocztowy,id_hurtowni,id_stanowiska
1,Kris,Temperley,15040234808,264,179,439,147,30252,79,82
2,Brande,Pyott,14717165267,197,17,292,78,96662,100,38
3,Valeda,Syfax,49630292077,215,308,182,136,80503,273,39
4,Chrisse,Muffett,91789158679,308,81,531,48,44889,295,88
5,Sibelle,Turney,79996844876,380,10,116,16,37331,199,92
6,Carole,Quarterman,91013322156,68,265,486,151,52347,89,14
7,Elise,Spira,56699496175,344,114,617,191,71732,86,30
8,Breanne,Biaggelli,59415522958,296,265,438,25,14469,241,66
9,Lethia,Coursor,40156208178,269,169,488,37,13509,300,7
10,Valaree,Trevers,37213938217,17,273,315,137,16947,258,78
11,Bengt,Huggill,78814648921,115,262,132,163,23481,248,36
12,Gerry,Boutellier,71077221177,25,228,550,64,60570,142,39
13,Bogey,Huntar,67521287828,77,262,495,172,74004,108,80
14,Davie,Bottom,36147991707,123,108,96,14,85051,196,75
15,Stanfield,Cammack,93582599879,293,93,583,50,52102,99,66
16,Anne-marie,Dinjes,80181510252,238,253,582,38,66116,35,47
17,Seka,De Beneditti,12715035417,153,301,683,19,74043,33,3
18,Adrien,Van,73412665096,10,210,149,196,22856,197,3
19,Gretna,Strover,54933263921,247,76,146,111,35626,29,43
20,Phillie,MacDuff,28937343516,183,205,88,27,68234,127,10
21,Lezlie,MacCarrick,66611655301,135,209,216,7,63112,199,51
22,Dorolisa,Bordone,40539099787,11,307,631,153,46465,39,42
23,Freddy,Stollwerck,40489267522,306,85,519,63,32407,112,37
24,Ode,Dorrins,46603783512,314,100,149,53,16345,121,86
25,Celesta,Spada,60023407883,166,171,196,129,15014,235,1
26,Elinor,Parlor,65943978232,286,157,249,23,73246,11,35
27,Chucho,Rapkins,10816789321,76,370,394,164,49610,86,75
28,Eldredge,Bernardes,27951090962,124,217,162,142,17866,39,53
29,Corissa,O'Farris,36057604151,192,378,679,189,91475,234,14
30,Keely,Thickett,76510313737,398,312,278,72,94041,149,62
31,Shirley,Ferry,55373605950,273,26,289,70,29951,74,91
32,Monte,Shillum,46673638874,167,379,639,44,38973,159,7
33,Fredia,Axup,58032511486,324,145,477,80,39733,140,14
34,Marla,Hambers,32488337044,368,379,654,199,77090,125,85
35,Dalila,Dinnage,74037953090,323,290,545,176,65781,222,6
36,Arleta,Spier,53813189032,292,92,418,187,23978,168,92
37,Toby,Radoux,55479085988,112,296,246,165,62581,196,42
38,Gordan,Haville,44498339832,87,398,130,152,15277,249,82
39,Darnell,Arnold,46243180632,39,243,681,149,99270,11,16
40,Rosemarie,Melling,45153618093,251,255,268,3,85113,148,58
41,Phyllis,Malter,84937080534,42,49,642,20,45827,229,49
42,Broderick,Faithfull,91637684742,222,3,207,97,80627,113,26
43,Agatha,Fairlaw,60437776494,329,268,454,128,65955,245,27
44,Carleen,Francois,40368140323,191,121,186,193,48156,67,13
45,Stephi,Bernhart,96215093849,170,388,411,195,27061,264,59
46,Cecilio,Lippo,89365081457,297,229,364,5,87264,27,84
47,Paulo,Midford,49593138618,393,274,67,11,15665,256,25
48,Conan,Minney,33690866552,357,270,186,6,78283,258,46
49,Phillip,Baxter,70674459883,278,243,19,7,95332,160,29
50,Paulo,Berceros,47238340070,206,398,135,115,37393,292,68
51,Jenda,Quarless,46998621074,61,282,179,76,26614,252,85
52,Derick,Dedmam,75987108697,106,397,583,186,13424,241,83
53,Grannie,Enterlein,43715829374,215,304,606,29,13439,57,59
54,Chlo,Tomala,90061397051,362,350,485,105,78399,32,66
55,Penn,Fetherston,87277562376,154,387,81,128,38946,294,72
56,Cleon,Gerren,14405596004,73,5,655,136,58081,161,97
57,Janeva,Cyseley,70780320930,50,120,517,153,93592,52,23
58,Moselle,Fullager,67413425037,6,271,679,33,85845,166,100
59,Cele,Kubes,58439137553,140,121,241,58,17123,61,82
60,Lazarus,Brushneen,60304239635,237,136,640,76,53247,286,65
61,Sinclair,Trenear,77307123655,360,329,232,24,17580,67,98
62,Roseann,Gatherell,30134727062,316,232,640,46,85273,247,24
63,Jacqueline,Rashleigh,12653896158,309,343,122,160,54985,111,18
64,Sorcha,Stout,61799091961,79,99,531,2,91224,90,26
65,Eran,Pareman,83200439268,191,44,592,96,55287,63,95
66,Thomas,Rentz,33050457777,373,25,255,183,74491,250,1
67,Aida,Sugars,16623046104,236,308,419,74,49781,40,84
68,Pembroke,Fitzsymonds,81642607935,358,55,596,24,64079,187,46
69,Julissa,Stirman,73908511084,175,66,330,54,30389,132,49
70,Cassandre,Plumstead,29500619217,220,145,550,168,75820,212,5
71,Tillie,Gilardi,88556884894,373,310,351,116,60560,215,61
72,Der,Libri,40247899777,213,166,168,109,33711,154,60
73,Angus,Stranahan,83679842183,377,253,272,196,81698,89,42
74,Craig,Usborn,87888721099,360,128,478,179,91253,255,10
75,Avril,Caudwell,49571607340,214,260,379,171,16662,205,54
76,Costanza,McOwen,92266488376,117,64,298,55,88795,134,15
77,Dean,Blonden,25324438600,245,133,642,102,44984,175,29
78,Elias,Bonelle,89146511558,142,213,111,150,66545,57,94
79,Frasier,Leeson,10185803934,190,139,458,9,23350,151,51
80,Sabra,Schirok,96889611687,277,308,178,173,16689,89,86
81,Lauryn,Heild,29428978669,164,371,584,141,38305,11,82
82,Cully,Clinkard,48443364996,286,250,590,73,51323,125,85
83,Elvira,Decker,46031518457,66,150,172,114,90697,227,66
